State;Account Length;Area Code;Phone;Int'l Plan;VMail Plan;VMail Message;Day Mins;Day Calls;Day Charge;Eve Mins;Eve Calls;Eve Charge;Night Mins;Night Calls;Night Charge;Intl Mins;Intl Calls;Intl Charge;CustServ Calls;Churn?
AK;108;415;330-5462;no;no;0;103.000000;129;17.510000;242.300000;103;20.600000;170.200000;89;7.660000;7.900000;3;2.130000;1;False.
AK;71;510;332-2275;no;no;0;185.000000;84;31.450000;232.500000;129;19.760000;191.100000;82;8.600000;14.900000;4;4.020000;3;False.
AK;126;415;333-5295;no;yes;31;278.000000;88;47.260000;253.200000;65;21.520000;223.200000;114;10.040000;8.700000;4;2.350000;0;False.
AK;74;415;336-6533;no;no;0;262.300000;114;44.590000;198.900000;96;16.910000;165.900000;90;7.470000;6.600000;5;1.780000;3;False.
AK;117;415;337-8078;no;no;0;181.500000;95;30.860000;205.100000;88;17.430000;204.000000;82;9.180000;14.700000;9;3.970000;2;False.
AK;141;408;338-8566;no;no;0;83.200000;74;14.140000;190.600000;104;16.200000;150.500000;79;6.770000;10.700000;7;2.890000;1;False.
AK;138;415;340-3409;no;yes;37;75.800000;102;12.890000;173.600000;147;14.760000;162.600000;96;7.320000;8.200000;13;2.210000;0;False.
AK;156;510;341-4075;no;no;0;123.700000;96;21.030000;103.000000;80;8.760000;189.400000;82;8.520000;13.100000;4;3.540000;1;False.
AK;36;408;341-9764;no;yes;30;146.300000;128;24.870000;162.500000;80;13.810000;129.300000;109;5.820000;14.500000;6;3.920000;0;False.
AK;127;510;345-8237;no;yes;36;183.200000;117;31.140000;126.800000;76;10.780000;263.300000;71;11.850000;11.200000;8;3.020000;1;False.
AK;132;415;345-9153;no;yes;39;175.700000;93;29.870000;187.200000;94;15.910000;225.500000;118;10.150000;8.600000;3;2.320000;2;False.
AK;132;510;346-4360;no;no;0;181.100000;121;30.790000;314.400000;109;26.720000;246.700000;81;11.100000;4.200000;9;1.130000;2;False.
AK;61;415;346-8863;no;yes;15;252.400000;106;42.910000;187.800000;69;15.960000;259.600000;137;11.680000;10.000000;3;2.700000;2;False.
AK;50;408;362-8331;no;no;0;183.600000;107;31.210000;58.600000;118;4.980000;202.600000;99;9.120000;8.700000;3;2.350000;1;False.
AK;58;510;364-1134;no;no;0;131.900000;96;22.420000;167.600000;107;14.250000;205.900000;106;9.270000;14.700000;5;3.970000;3;False.
AK;104;408;366-4467;no;no;0;278.400000;106;47.330000;81.000000;113;6.890000;163.200000;137;7.340000;9.800000;5;2.650000;1;False.
AK;76;415;366-9781;no;yes;22;160.100000;107;27.220000;168.700000;136;14.340000;23.200000;102;1.040000;9.500000;4;2.570000;3;False.
AK;1;408;373-1028;no;no;0;175.200000;74;29.780000;151.700000;79;12.890000;230.500000;109;10.370000;5.300000;3;1.430000;1;False.
AK;52;408;375-5562;no;no;0;217.000000;104;36.890000;152.300000;83;12.950000;134.300000;109;6.040000;11.800000;4;3.190000;2;False.
AK;97;415;380-2600;no;yes;24;176.100000;109;29.940000;159.400000;81;13.550000;269.100000;94;12.110000;12.100000;9;3.270000;0;False.
AK;121;408;382-5743;no;yes;34;245.000000;95;41.650000;216.900000;66;18.440000;112.400000;125;5.060000;7.500000;8;2.030000;0;False.
AK;127;408;383-9255;no;no;0;182.300000;124;30.990000;169.900000;110;14.440000;184.000000;116;8.280000;9.300000;3;2.510000;1;False.
AK;86;408;389-4602;no;no;0;150.800000;85;25.640000;295.900000;88;25.150000;247.200000;104;11.120000;12.500000;1;3.380000;1;False.
AK;48;415;389-7073;no;yes;37;211.700000;115;35.990000;159.900000;84;13.590000;144.100000;80;6.480000;12.200000;1;3.290000;1;False.
AK;110;415;394-4548;no;no;0;148.400000;95;25.230000;193.800000;98;16.470000;206.000000;106;9.270000;6.900000;6;1.860000;0;False.
AK;110;408;396-2335;no;no;0;100.100000;90;17.020000;233.300000;93;19.830000;204.400000;57;9.200000;11.100000;8;3.000000;3;False.
AK;136;415;402-1381;yes;yes;33;203.900000;106;34.660000;187.600000;99;15.950000;101.700000;107;4.580000;10.500000;6;2.840000;3;False.
AK;101;510;411-4940;no;no;0;174.900000;105;29.730000;262.000000;75;22.270000;210.000000;93;9.450000;8.500000;5;2.300000;1;False.
AK;52;510;414-7942;no;no;0;148.300000;83;25.210000;181.600000;79;15.440000;155.600000;104;7.000000;8.300000;6;2.240000;3;False.
AL;181;415;330-9294;no;yes;27;190.300000;93;32.350000;249.000000;127;21.170000;215.700000;82;9.710000;10.600000;4;2.860000;1;False.
AL;49;415;331-6229;no;yes;28;214.400000;78;36.450000;235.200000;100;19.990000;206.200000;107;9.280000;8.000000;13;2.160000;3;False.
AL;121;408;331-8909;no;yes;35;68.700000;95;11.680000;209.200000;69;17.780000;197.400000;42;8.880000;11.400000;4;3.080000;1;False.
AL;107;408;332-3804;no;no;0;86.800000;95;14.760000;108.100000;85;9.190000;204.300000;87;9.190000;13.200000;3;3.560000;1;False.
AL;83;408;333-4154;no;no;0;202.300000;87;34.390000;201.500000;111;17.130000;101.700000;82;4.580000;6.800000;4;1.840000;0;False.
AL;67;415;338-7683;no;yes;28;95.000000;94;16.150000;291.200000;73;24.750000;159.600000;114;7.180000;10.000000;2;2.700000;2;False.
AL;72;415;343-4806;no;no;0;217.800000;93;37.030000;189.700000;113;16.120000;182.600000;91;8.220000;10.400000;5;2.810000;4;False.
AL;149;415;348-6659;no;yes;20;264.400000;102;44.950000;219.600000;123;18.670000;200.400000;89;9.020000;11.300000;3;3.050000;2;False.
AL;106;415;349-3732;no;no;0;212.900000;110;36.190000;187.000000;69;15.900000;128.100000;71;5.760000;6.300000;3;1.700000;3;False.
AL;95;415;350-7273;no;no;0;229.900000;116;39.080000;202.400000;110;17.200000;171.400000;105;7.710000;14.200000;6;3.830000;1;False.
AL;87;408;351-6585;no;no;0;237.200000;124;40.320000;222.600000;87;18.920000;173.300000;81;7.800000;11.000000;3;2.970000;1;False.
AL;134;415;352-2998;no;no;0;178.000000;110;30.260000;153.800000;64;13.070000;236.600000;105;10.650000;11.700000;4;3.160000;1;False.
AL;136;510;352-6732;no;no;0;109.400000;91;18.600000;207.500000;111;17.640000;135.000000;107;6.080000;11.600000;5;3.130000;0;False.
AL;106;415;356-1567;no;no;0;223.000000;121;37.910000;110.100000;98;9.360000;188.700000;107;8.490000;7.100000;12;1.920000;0;False.
AL;109;408;361-2924;no;no;0;218.900000;105;37.210000;299.900000;87;25.490000;158.600000;110;7.140000;11.300000;4;3.050000;2;False.
AL;71;415;362-7835;no;no;0;103.300000;103;17.560000;138.500000;79;11.770000;164.800000;98;7.420000;9.000000;2;2.430000;2;False.
AL;85;415;368-9007;no;no;0;210.300000;66;35.750000;195.800000;76;16.640000;221.600000;82;9.970000;11.200000;7;3.020000;1;False.
AL;98;408;383-1509;no;no;0;161.000000;117;27.370000;190.900000;113;16.230000;227.700000;113;10.250000;12.100000;4;3.270000;4;False.
AL;125;408;384-9243;no;no;0;169.300000;90;28.780000;156.000000;138;13.260000;210.800000;106;9.490000;11.600000;6;3.130000;2;False.
AL;85;408;386-6411;no;yes;30;173.100000;107;29.430000;247.200000;101;21.010000;158.700000;104;7.140000;11.500000;5;3.110000;1;False.
AL;141;510;388-8583;no;yes;28;308.000000;123;52.360000;247.800000;128;21.060000;152.900000;103;6.880000;7.400000;3;2.000000;1;False.
AL;95;415;390-3565;no;no;0;194.600000;114;33.080000;232.800000;106;19.790000;173.400000;92;7.800000;3.800000;2;1.030000;3;False.
AL;115;510;390-7370;no;yes;14;192.300000;86;32.690000;88.700000;90;7.540000;229.400000;120;10.320000;10.500000;3;2.840000;2;False.
AL;111;510;390-7863;no;no;0;176.400000;62;29.990000;201.000000;124;17.090000;150.400000;138;6.770000;11.200000;2;3.020000;0;False.
AL;141;408;391-6773;no;no;0;242.800000;90;41.280000;234.100000;80;19.900000;211.500000;104;9.520000;6.000000;3;1.620000;5;False.
AL;118;510;391-8027;yes;no;0;223.400000;98;37.980000;220.600000;101;18.750000;203.900000;118;9.180000;6.300000;6;1.700000;0;False.
AL;117;510;391-8677;no;no;0;158.700000;84;26.980000;181.700000;91;15.440000;177.300000;67;7.980000;7.700000;10;2.080000;2;False.
AL;148;415;393-4528;no;yes;21;262.900000;135;44.690000;149.500000;96;12.710000;140.500000;109;6.320000;8.100000;4;2.190000;1;False.
AL;61;415;399-4094;no;yes;20;254.400000;133;43.250000;161.700000;96;13.740000;251.400000;91;11.310000;10.500000;4;2.840000;0;False.
AL;106;408;404-5283;no;yes;29;83.600000;131;14.210000;203.900000;131;17.330000;229.500000;73;10.330000;8.100000;3;2.190000;1;False.
AL;119;415;404-8765;no;no;0;98.800000;97;16.800000;146.900000;68;12.490000;190.700000;105;8.580000;10.000000;4;2.700000;3;False.
AL;32;510;404-9680;no;no;0;230.900000;87;39.250000;187.400000;90;15.930000;154.000000;53;6.930000;6.300000;2;1.700000;0;False.
AL;77;415;408-4174;no;no;0;163.000000;112;27.710000;219.100000;89;18.620000;233.400000;66;10.500000;6.700000;3;1.810000;2;False.
AL;85;408;411-4232;no;no;0;127.900000;107;21.740000;271.200000;124;23.050000;202.200000;76;9.100000;12.500000;5;3.380000;0;False.
AL;121;415;414-6541;no;no;0;168.900000;128;28.710000;123.900000;99;10.530000;266.300000;105;11.980000;2.900000;7;0.780000;2;False.
AL;182;415;418-3096;no;yes;24;128.100000;104;21.780000;143.400000;127;12.190000;191.000000;98;8.590000;11.600000;3;3.130000;1;False.
AR;86;408;329-8115;no;yes;16;145.700000;88;24.770000;191.000000;129;16.240000;215.500000;82;9.700000;11.300000;7;3.050000;0;False.
AR;74;510;329-9046;no;no;0;148.500000;111;25.250000;146.500000;42;12.450000;289.200000;83;13.010000;9.900000;6;2.670000;3;False.
AR;63;510;330-5168;no;yes;49;214.900000;86;36.530000;198.200000;89;16.850000;170.800000;139;7.690000;8.200000;5;2.210000;0;False.
AR;103;415;337-9878;no;yes;31;185.400000;105;31.520000;197.600000;126;16.800000;147.100000;110;6.620000;14.500000;4;3.920000;2;False.
AR;115;408;338-1400;no;no;0;268.000000;115;45.560000;153.600000;106;13.060000;232.300000;65;10.450000;17.000000;1;4.590000;3;False.
AR;88;408;348-7448;no;no;0;152.900000;119;25.990000;171.200000;107;14.550000;257.000000;106;11.570000;12.000000;5;3.240000;2;False.
AR;185;415;353-2557;no;yes;19;157.300000;123;26.740000;257.700000;94;21.900000;190.400000;107;8.570000;9.600000;6;2.590000;0;False.
AR;100;510;363-5853;no;no;0;142.500000;87;24.230000;195.700000;88;16.630000;122.100000;117;5.490000;7.800000;8;2.110000;2;False.
AR;33;408;371-9602;no;no;0;251.900000;81;42.820000;194.600000;96;16.540000;211.200000;87;9.500000;8.400000;3;2.270000;2;False.
AR;109;510;377-9092;no;no;0;170.700000;101;29.020000;240.200000;82;20.420000;119.000000;112;5.360000;11.400000;4;3.080000;2;False.
AR;109;510;378-4294;no;no;0;153.100000;102;26.030000;234.100000;77;19.900000;329.200000;74;14.810000;9.900000;9;2.670000;3;False.
AR;85;415;380-3974;no;no;0;96.700000;97;16.440000;193.800000;95;16.470000;171.700000;88;7.730000;9.700000;3;2.620000;2;False.
AR;156;415;388-6223;no;no;0;178.800000;94;30.400000;178.400000;97;15.160000;169.200000;77;7.610000;7.500000;3;2.030000;1;False.
AR;58;415;389-6082;no;no;0;238.900000;107;40.610000;187.200000;88;15.910000;181.100000;84;8.150000;11.800000;3;3.190000;2;False.
AR;57;510;393-3507;no;no;0;192.800000;68;32.780000;158.000000;86;13.430000;235.500000;105;10.600000;12.700000;6;3.430000;1;False.
AR;54;415;396-2867;no;yes;39;206.900000;143;35.170000;127.800000;72;10.860000;199.200000;120;8.960000;9.200000;1;2.480000;3;False.
AR;116;415;396-9279;no;yes;23;253.000000;78;43.010000;138.900000;121;11.810000;277.800000;104;12.500000;11.800000;3;3.190000;2;False.
AR;116;408;405-5681;no;no;0;173.500000;93;29.500000;194.100000;76;16.500000;208.000000;112;9.360000;16.200000;10;4.370000;3;False.
AR;89;408;410-3725;yes;no;0;206.900000;134;35.170000;167.700000;105;14.250000;155.700000;86;7.010000;10.900000;4;2.940000;0;False.
AR;163;408;411-5859;no;no;0;197.000000;109;33.490000;202.600000;128;17.220000;206.400000;80;9.290000;9.100000;10;2.460000;1;False.
AR;33;415;411-8956;yes;no;0;164.000000;99;27.880000;153.100000;102;13.010000;123.800000;104;5.570000;6.400000;4;1.730000;0;False.
AR;91;510;415-4875;no;yes;27;204.600000;96;34.780000;136.000000;93;11.560000;210.500000;82;9.470000;6.600000;2;1.780000;3;False.
AR;122;415;420-4089;yes;no;0;146.300000;117;24.870000;218.700000;93;18.590000;236.000000;97;10.620000;11.500000;5;3.110000;1;False.
AZ;99;415;327-3954;no;no;0;198.200000;87;33.690000;207.300000;76;17.620000;190.900000;113;8.590000;8.700000;3;2.350000;4;False.
AZ;134;415;332-6633;no;yes;40;142.900000;105;24.290000;88.600000;61;7.530000;290.000000;96;13.050000;10.800000;6;2.920000;1;False.
AZ;100;415;333-2337;no;no;0;188.500000;152;32.050000;148.300000;115;12.610000;179.800000;88;8.090000;15.200000;5;4.100000;2;False.
AZ;95;408;334-2577;no;no;0;238.100000;65;40.480000;187.200000;98;15.910000;190.000000;115;8.550000;11.800000;4;3.190000;4;False.
