State;Account Length;Area Code;Phone;Int'l Plan;VMail Plan;VMail Message;Day Mins;Day Calls;Day Charge;Eve Mins;Eve Calls;Eve Charge;Night Mins;Night Calls;Night Charge;Intl Mins;Intl Calls;Intl Charge;CustServ Calls;Churn?
AK;115;415;333-3704;no;no;0;245.200000;105;41.680000;159.000000;109;13.520000;229.900000;74;10.350000;7.200000;8;1.940000;0;
AK;96;408;334-4506;no;yes;29;150.000000;91;25.500000;159.400000;75;13.550000;228.100000;55;10.260000;8.500000;3;2.300000;1;
AK;78;408;336-5406;no;no;0;225.100000;67;38.270000;199.200000;127;16.930000;175.500000;102;7.900000;14.600000;2;3.940000;0;
AK;115;415;349-1756;no;no;0;210.600000;120;35.800000;153.100000;84;13.010000;262.200000;79;11.800000;11.000000;5;2.970000;0;
AK;173;510;349-9060;no;no;0;172.500000;78;29.330000;142.600000;91;12.120000;102.000000;63;4.590000;10.900000;2;2.940000;0;
AK;51;510;352-9130;yes;yes;12;135.800000;60;23.090000;200.600000;134;17.050000;192.400000;98;8.660000;12.300000;7;3.320000;2;
AK;52;415;356-5244;no;yes;24;170.900000;71;29.050000;201.400000;80;17.120000;159.000000;124;7.150000;4.100000;5;1.110000;2;
AK;103;510;359-9454;no;no;0;190.900000;62;32.450000;226.600000;53;19.260000;230.100000;96;10.350000;7.800000;3;2.110000;2;
AK;111;415;364-7719;no;no;0;172.800000;58;29.380000;183.100000;108;15.560000;158.800000;104;7.150000;7.900000;3;2.130000;4;
AK;55;408;365-6756;no;yes;39;139.300000;101;23.680000;178.300000;117;15.160000;246.500000;104;11.090000;8.100000;1;2.190000;3;
AK;59;510;366-5241;no;no;0;182.500000;104;31.030000;204.700000;95;17.400000;229.900000;100;10.350000;11.300000;8;3.050000;4;
AK;120;415;366-6991;no;no;0;178.400000;97;30.330000;168.300000;113;14.310000;120.500000;93;5.420000;9.300000;9;2.510000;1;
AK;126;415;372-3750;no;no;0;58.200000;94;9.890000;138.700000;118;11.790000;136.800000;91;6.160000;11.900000;1;3.210000;5;
AK;41;415;378-7733;no;no;0;159.300000;66;27.080000;125.900000;75;10.700000;261.900000;76;11.790000;11.100000;5;3.000000;1;
AK;146;510;383-6544;yes;no;0;133.000000;65;22.610000;262.800000;93;22.340000;214.300000;128;9.640000;11.200000;3;3.020000;1;
AK;177;415;384-6132;yes;no;0;248.700000;118;42.280000;172.300000;73;14.650000;191.900000;87;8.640000;11.300000;2;3.050000;1;
AK;130;415;392-5587;no;no;0;242.500000;101;41.230000;102.800000;114;8.740000;142.400000;89;6.410000;9.300000;2;2.510000;2;
AK;100;415;394-5202;no;yes;29;213.600000;127;36.310000;175.900000;82;14.950000;207.200000;100;9.320000;8.900000;3;2.400000;1;
AK;146;415;397-5911;no;no;0;195.900000;86;33.300000;228.600000;82;19.430000;303.500000;94;13.660000;12.200000;4;3.290000;3;
AK;99;510;401-7334;no;no;0;238.400000;96;40.530000;246.500000;130;20.950000;198.400000;117;8.930000;12.400000;4;3.350000;3;
AK;76;415;404-1931;no;no;0;143.700000;55;24.430000;173.100000;108;14.710000;239.100000;95;10.760000;5.800000;6;1.570000;1;
AK;59;408;416-1845;no;no;0;159.500000;96;27.120000;167.200000;123;14.210000;138.600000;106;6.240000;10.200000;4;2.750000;0;
AK;78;510;418-9385;no;no;0;190.300000;88;32.350000;194.500000;89;16.530000;256.500000;109;11.540000;11.700000;5;3.160000;2;
AL;100;408;333-3447;no;yes;25;246.600000;94;41.920000;141.400000;112;12.020000;189.800000;109;8.540000;13.000000;5;3.510000;1;
AL;95;408;333-7225;no;no;0;190.200000;119;32.330000;157.100000;70;13.350000;181.500000;120;8.170000;14.000000;6;3.780000;0;
AL;167;510;335-5882;no;no;0;207.600000;88;35.290000;132.400000;63;11.250000;255.200000;98;11.480000;14.100000;5;3.810000;0;
AL;90;415;335-9786;no;no;0;214.900000;97;36.530000;117.800000;117;10.010000;133.700000;78;6.020000;11.800000;2;3.190000;2;
AL;16;415;336-2322;no;no;0;161.900000;100;27.520000;230.100000;138;19.560000;148.800000;78;6.700000;10.200000;11;2.750000;3;
AL;122;415;336-5920;no;no;0;232.500000;96;39.530000;205.500000;120;17.470000;213.700000;91;9.620000;11.900000;2;3.210000;0;
AL;102;415;337-1100;no;no;0;123.100000;106;20.930000;182.000000;102;15.470000;244.600000;75;11.010000;12.600000;7;3.400000;2;
AL;25;408;337-4600;no;no;0;264.900000;80;45.030000;281.200000;66;23.900000;166.100000;80;7.470000;8.400000;4;2.270000;1;
AL;112;510;339-5659;no;no;0;189.400000;83;32.200000;219.000000;89;18.620000;168.000000;116;7.560000;7.100000;8;1.920000;3;
AL;72;415;341-7296;no;no;0;166.500000;102;28.310000;261.000000;103;22.190000;262.700000;85;11.820000;13.300000;5;3.590000;0;
AL;68;510;344-4970;no;no;0;157.300000;83;26.740000;220.900000;85;18.780000;218.900000;129;9.850000;12.000000;7;3.240000;1;
AL;70;415;345-7014;no;no;0;230.300000;110;39.150000;77.900000;87;6.620000;247.100000;105;11.120000;13.200000;4;3.560000;1;
AL;91;408;348-9383;yes;no;0;151.800000;115;25.810000;103.600000;116;8.810000;156.300000;86;7.030000;12.200000;4;3.290000;1;
AL;137;415;350-4367;no;no;0;104.700000;115;17.800000;249.800000;144;21.230000;192.300000;99;8.650000;8.900000;2;2.400000;1;
AL;132;408;350-9318;no;no;0;222.400000;85;37.810000;165.400000;76;14.060000;208.400000;97;9.380000;11.200000;4;3.020000;0;
AL;88;415;352-5393;no;no;0;181.900000;90;30.920000;151.500000;87;12.880000;143.000000;100;6.440000;7.500000;3;2.030000;1;
AL;13;415;354-4333;no;no;0;143.100000;139;24.330000;239.600000;88;20.370000;221.700000;123;9.980000;7.100000;5;1.920000;2;
AL;73;415;355-9295;no;no;0;192.200000;86;32.670000;168.600000;116;14.330000;139.800000;87;6.290000;9.400000;6;2.540000;1;
AL;146;415;358-1129;no;yes;32;154.000000;80;26.180000;185.500000;91;15.770000;148.200000;107;6.670000;8.200000;4;2.210000;3;
AL;172;408;359-5731;no;no;0;270.000000;102;45.900000;256.600000;111;21.810000;168.500000;104;7.580000;12.000000;5;3.240000;2;
AL;131;415;361-7998;no;yes;25;192.700000;85;32.760000;225.900000;105;19.200000;254.200000;59;11.440000;10.900000;6;2.940000;2;
AL;102;408;364-7622;no;no;0;224.700000;81;38.200000;129.400000;112;11.000000;167.600000;109;7.540000;15.800000;6;4.270000;1;
AL;131;510;366-4225;no;no;0;153.400000;86;26.080000;198.500000;81;16.870000;164.400000;83;7.400000;10.400000;3;2.810000;0;
AL;76;415;367-8156;no;no;0;179.200000;85;30.460000;222.900000;66;18.950000;188.200000;113;8.470000;12.400000;2;3.350000;0;
AL;41;510;369-6880;no;yes;34;194.400000;63;33.050000;254.900000;110;21.670000;160.200000;115;7.210000;17.200000;9;4.640000;2;
AL;92;408;371-7366;no;yes;38;242.200000;96;41.170000;159.700000;144;13.570000;210.000000;108;9.450000;8.900000;1;2.400000;1;
AL;144;415;373-3251;no;no;0;177.500000;93;30.180000;287.400000;75;24.430000;180.500000;118;8.120000;11.900000;3;3.210000;2;
AL;93;408;374-9203;no;no;0;267.900000;114;45.540000;223.000000;74;18.960000;262.700000;90;11.820000;11.300000;3;3.050000;3;
AL;55;415;375-2975;yes;no;0;191.900000;91;32.620000;256.100000;110;21.770000;203.700000;101;9.170000;14.300000;6;3.860000;1;
AL;100;415;377-5258;no;no;0;160.300000;138;27.250000;221.300000;92;18.810000;150.400000;120;6.770000;11.200000;2;3.020000;0;
AL;91;510;378-5633;no;yes;23;232.400000;97;39.510000;186.000000;88;15.810000;190.500000;128;8.570000;12.300000;3;3.320000;3;
AL;86;415;380-3437;no;no;0;128.300000;121;21.810000;197.100000;93;16.750000;138.400000;152;6.230000;12.200000;5;3.290000;7;
AL;19;415;380-3910;yes;no;0;237.700000;98;40.410000;207.100000;121;17.600000;182.200000;95;8.200000;4.500000;4;1.220000;0;
AL;91;510;387-2919;yes;no;0;129.900000;112;22.080000;173.300000;83;14.730000;247.200000;130;11.120000;11.200000;3;3.020000;3;
AL;69;415;389-4278;no;no;0;183.400000;85;31.180000;237.600000;100;20.200000;228.000000;94;10.260000;9.000000;5;2.430000;3;
AL;16;408;403-9417;no;no;0;209.500000;89;35.620000;172.800000;85;14.690000;94.100000;102;4.230000;8.800000;4;2.380000;1;
AL;47;408;404-5387;no;yes;28;141.300000;94;24.020000;168.000000;108;14.280000;113.500000;84;5.110000;7.800000;2;2.110000;1;
AL;82;408;406-8037;no;no;0;154.000000;107;26.180000;94.400000;114;8.020000;287.600000;95;12.940000;10.100000;7;2.730000;1;
AL;200;408;408-2119;no;no;0;128.200000;87;21.790000;133.200000;105;11.320000;177.600000;123;7.990000;11.200000;2;3.020000;1;
AL;96;415;410-5455;yes;no;0;200.600000;117;34.100000;289.500000;120;24.610000;98.300000;95;4.420000;11.200000;5;3.020000;2;
AL;8;415;421-2245;no;yes;36;242.900000;67;41.290000;170.900000;59;14.530000;177.300000;130;7.980000;4.800000;12;1.300000;1;
AR;95;415;328-2982;no;no;0;69.400000;79;11.800000;190.800000;109;16.220000;219.900000;102;9.900000;8.900000;5;2.400000;0;
AR;145;415;332-5820;no;no;0;224.200000;89;38.110000;314.900000;121;26.770000;182.900000;121;8.230000;16.100000;3;4.350000;1;
AR;94;408;333-2964;no;no;0;136.200000;114;23.150000;165.100000;118;14.030000;137.900000;71;6.210000;9.600000;5;2.590000;0;
AR;54;415;337-1586;no;no;0;247.500000;85;42.080000;225.400000;93;19.160000;244.300000;132;10.990000;10.200000;2;2.750000;2;
AR;113;415;338-6714;yes;no;0;122.200000;112;20.770000;131.700000;94;11.190000;169.500000;106;7.630000;10.300000;9;2.780000;5;
AR;138;510;338-9171;no;no;0;146.500000;101;24.910000;284.500000;142;24.180000;176.000000;98;7.920000;14.000000;6;3.780000;3;
AR;153;408;339-3636;no;no;0;154.600000;56;26.280000;263.000000;84;22.360000;367.700000;89;16.550000;15.500000;2;4.190000;1;
AR;80;415;340-4953;no;no;0;124.300000;100;21.130000;173.000000;107;14.710000;253.200000;62;11.390000;7.900000;9;2.130000;1;
AR;107;415;343-5219;yes;no;0;133.300000;106;22.660000;182.900000;89;15.550000;241.100000;123;10.850000;12.900000;2;3.480000;3;
AR;59;510;343-7242;no;yes;29;133.100000;114;22.630000;221.200000;82;18.800000;131.600000;103;5.920000;6.800000;3;1.840000;1;
AR;36;415;346-9317;no;no;0;157.600000;117;26.790000;184.300000;58;15.670000;240.400000;99;10.820000;11.900000;1;3.210000;0;
AR;34;510;353-7289;no;no;0;124.800000;82;21.220000;282.200000;98;23.990000;311.500000;78;14.020000;10.000000;4;2.700000;2;
AR;96;415;365-2341;no;yes;21;247.600000;95;42.090000;256.300000;150;21.790000;158.600000;72;7.140000;10.800000;6;2.920000;2;
AR;89;415;365-4728;no;yes;25;215.100000;140;36.570000;197.400000;69;16.780000;162.100000;117;7.290000;10.600000;10;2.860000;1;
AR;110;408;373-6379;no;no;0;55.300000;102;9.400000;164.700000;124;14.000000;200.700000;108;9.030000;10.200000;5;2.750000;1;
AR;109;510;374-5530;no;no;0;175.400000;125;29.820000;250.700000;87;21.310000;289.300000;74;13.020000;9.800000;9;2.650000;1;
AR;68;510;376-1000;no;no;0;172.700000;95;29.360000;139.100000;90;11.820000;174.300000;99;7.840000;11.700000;1;3.160000;2;
AR;129;415;379-7192;no;no;0;157.000000;113;26.690000;256.900000;97;21.840000;185.500000;126;8.350000;12.100000;2;3.270000;2;
AR;5;415;380-2758;no;no;0;199.200000;106;33.860000;187.300000;12;15.920000;214.000000;85;9.630000;13.300000;3;3.590000;3;
AR;87;408;390-4789;no;no;0;185.800000;119;31.590000;192.300000;83;16.350000;200.000000;96;9.000000;6.600000;4;1.780000;1;
AR;118;415;402-3892;no;no;0;267.800000;145;45.530000;316.400000;121;26.890000;208.600000;91;9.390000;14.400000;11;3.890000;5;
AR;79;408;406-2752;no;no;0;152.200000;112;25.870000;177.200000;132;15.060000;96.400000;87;4.340000;5.300000;3;1.430000;1;
AR;77;415;408-3610;no;yes;23;209.700000;73;35.650000;183.600000;63;15.610000;205.500000;111;9.250000;7.100000;3;1.920000;2;
AR;116;510;409-5519;no;no;0;160.700000;69;27.320000;146.800000;106;12.480000;287.800000;144;12.950000;8.200000;5;2.210000;0;
AR;179;415;413-3412;yes;yes;38;220.100000;78;37.420000;234.300000;71;19.920000;237.300000;85;10.680000;10.100000;4;2.730000;4;
AR;135;510;419-6033;no;yes;27;273.400000;141;46.480000;154.000000;99;13.090000;245.800000;112;11.060000;12.300000;6;3.320000;1;
AZ;87;510;327-3053;no;no;0;110.900000;91;18.850000;158.500000;115;13.470000;207.500000;131;9.340000;6.200000;5;1.670000;1;
AZ;73;415;328-1522;no;no;0;175.400000;130;29.820000;248.100000;105;21.090000;122.400000;85;5.510000;12.200000;4;3.290000;0;
AZ;100;415;331-9861;no;yes;26;153.700000;115;26.130000;137.800000;146;11.710000;213.500000;104;9.610000;15.900000;5;4.290000;1;
AZ;138;415;332-3381;no;no;0;87.600000;112;14.890000;266.900000;107;22.690000;214.600000;104;9.660000;9.800000;10;2.650000;2;
